candidate_key,paper_id,bridge_extraction_id,bridge_policy_run_id,chunk_id,section,document_id,concept_id,concept_type,in_relation_calibration,automatic_status,raw_retention_lane,raw_pattern_subject,raw_pattern_relation,raw_pattern_object,effective_pattern_subject,effective_pattern_relation,effective_pattern_object,relation_strength,pattern_support_mode,evidence_scope,label,source_phrase,supporting_phrases_json,subject_evidence_phrase,relation_evidence_phrase,object_evidence_phrase,comparison_items_json,qualifiers_json,anchor_ids_json,anchor_relations_json,evidence_pointers_json,evidence_pointer_count,rejection_reason_codes_json,rejection_reason_details_json,repair_rule_ids_json,manual_decision,manual_pattern_subject,manual_pattern_relation,manual_pattern_object,manual_anchor_correct,manual_reason,manual_confidence,manual_notes,reviewer,reviewed_at
09ee9b77bef255e055e7,Kiwook_1,b68eca2bd9b812d0,6043a1adf9014787,Kiwook_1:main:1ad66c0fdb5c8935e8d5,[main] whole document,main,concept_wl_unoccupied_dos_correlation,RelationPattern,True,REJECTED,accepted_pattern,"Pt L2,3-edge white-line intensity",CORRELATES_WITH,unoccupied Pt 5d density of states,"Pt L2,3-edge white-line intensity",CORRELATES_WITH,unoccupied Pt 5d density of states,correlational,explicit_single_span,paper_result,white-line-intensity–unoccupied-5d-density correlation,"Note that the integrated area under the WL peak of Pt L2,3-edge can directly reflect the unoccupied density of states of the Pt 5d orbitals.","[""Note that the integrated area under the WL peak of Pt L2,3-edge can directly reflect the unoccupied density of states of the Pt 5d orbitals.""]","the integrated area under the WL peak of Pt L2,3-edge",can directly reflect,the unoccupied density of states of the Pt 5d orbitals,[],[],"[""meas_pt_ru_wl""]","[""EXPRESSES_PATTERN""]","[{""asset_ids"": [], ""document_id"": ""main"", ""document_role"": ""main"", ""locator_text"": null, ""page_id"": 4}]",1,"[""RELATION_CUE_MISMATCH""]","[{""code"": ""RELATION_CUE_MISMATCH"", ""detail"": ""Relation evidence does not lexically support CORRELATES_WITH."", ""field"": ""relation_evidence_phrase"", ""repairable"": true}]",[],,,,,,,,,,
54176c541094d0b5a49e,Kiwook_1,b68eca2bd9b812d0,6043a1adf9014787,Kiwook_1:main:641414853a1cb468ecee,[main] whole document,main,bridge_controlled_deposition_selects_dimer_structure,RelationPattern,True,ACCEPTED_PATTERN,accepted_pattern,controlled deposition conditions,SELECTS,bimetallic dimer structure,controlled deposition conditions,SELECTS,bimetallic dimer structure,descriptive,explicit_single_span,background,controlled deposition selects bimetallic dimer formation,"Through careful control of the deposition conditions, the second metal (e.g., Ru) can only attach on the preliminary one (e.g., Pt), selectively forming the bimetallic dimer structure.","[""Through careful control of the deposition conditions, the second metal (e.g., Ru) can only attach on the preliminary one (e.g., Pt), selectively forming the bimetallic dimer structure.""]",careful control of the deposition conditions,selectively forming,the bimetallic dimer structure,[],"[{""key"": ""selection_target"", ""value"": ""attachment of the second metal to the preliminary metal""}]","[""exp_ald_synthesis""]","[""EXPRESSES_PATTERN""]","[{""asset_ids"": [], ""document_id"": ""main"", ""document_role"": ""main"", ""locator_text"": null, ""page_id"": 10}]",1,[],[],[],,,,,,,,,,
4aa006b06d692336d84a,Kiwook_1,b68eca2bd9b812d0,6043a1adf9014787,Kiwook_1:main:641414853a1cb468ecee,[main] whole document,main,bridge_bimetallic_interaction_modulates_electronic_structure,RelationPattern,True,REJECTED,accepted_pattern,electronic influence of one metal in a bimetallic dimer,MODULATES,electronic structure of the partner metal,electronic influence of one metal in a bimetallic dimer,MODULATES,electronic structure of the partner metal,causal_interpretive,explicit_single_span,author_interpretation,heterometallic interaction modulates partner electronic structure,"Density functional theory (DFT) calculation results indicate that the Pt atom strongly affects the electronic structure of the Ru atom, where the bimetallic dimer proceeds metallicity to covalence transformation, which results in the high HER performance.","[""Density functional theory (DFT) calculation results indicate that the Pt atom strongly affects the electronic structure of the Ru atom, where the bimetallic dimer proceeds metallicity to covalence transformation, which results in the high HER performance.""]",the Pt atom,strongly affects,the electronic structure of the Ru atom,[],"[{""key"": ""reaction_context"", ""value"": ""hydrogen evolution reaction""}]","[""obs_pt_ru_electronic_result""]","[""EXPRESSES_PATTERN""]","[{""asset_ids"": [], ""document_id"": ""main"", ""document_role"": ""main"", ""locator_text"": null, ""page_id"": 10}]",1,"[""RELATION_CUE_MISMATCH""]","[{""code"": ""RELATION_CUE_MISMATCH"", ""detail"": ""Relation evidence does not lexically support MODULATES."", ""field"": ""relation_evidence_phrase"", ""repairable"": true}]",[],,,,,,,,,,
044da543b7db305cf3ab,Kiwook_1,b68eca2bd9b812d0,6043a1adf9014787,Kiwook_1:main:641414853a1cb468ecee,[main] whole document,main,bridge_metallicity_to_covalence_transformation,ElectronicEffect,False,KEPT_FRONTIER,paper_local_frontier,,,,,,,,,author_interpretation,metallicity-to-covalence transformation,"where the bimetallic dimer proceeds metallicity to covalence transformation, which results in the high HER performance.",[],,,,[],[],"[""mech_pt_ru_covalence""]","[""INVOLVES_PHENOMENON""]","[{""asset_ids"": [], ""document_id"": ""main"", ""document_role"": ""main"", ""locator_text"": null, ""page_id"": 10}]",1,[],[],[],,,,,,,,,,
b1112145f4b5b59fd684,Kiwook_1,b68eca2bd9b812d0,6043a1adf9014787,Kiwook_1:main:68973184a0c9c36b8f90,[main] whole document,main,bc_1,RelationPattern,True,ACCEPTED_PATTERN,accepted_pattern,dual-atom dimer structure,PROMOTES,HER activity,dual-atom dimer structure,PROMOTES,HER activity,causal_interpretive,explicit_single_span,author_interpretation,dual-atom structure–HER activity enhancement,These results indicate that the Pt–Ru dimer structures can effectively improve the HER activity in contrast to single atoms and NPs.,"[""These results indicate that the Pt–Ru dimer structures can effectively improve the HER activity in contrast to single atoms and NPs.""]",Pt–Ru dimer structures,can effectively improve,the HER activity,[],[],"[""mech_dimer_activity""]","[""EXPRESSES_PATTERN""]","[{""asset_ids"": [], ""document_id"": ""main"", ""document_role"": ""main"", ""locator_text"": null, ""page_id"": 10}]",1,[],[],[],,,,,,,,,,
103af8e74affbcb3d6ea,Kiwook_1,b68eca2bd9b812d0,6043a1adf9014787,Kiwook_1:main:70e5fe1129f40eb2b396,[main] whole document,main,concept_coverage_dependent_site_selection,RelationPattern,True,REJECTED,accepted_pattern,preferred hydrogen adsorption side,VARIES_WITH,hydrogen adsorption coverage,preferred hydrogen adsorption side,VARIES_WITH,hydrogen adsorption coverage,correlational,explicit_single_span,paper_result,hydrogen-coverage-dependent adsorption-site selection,"Interestingly, after the first step, the hydrogen atoms first adsorb on the Pt side one by one, after three hydrogen atoms adsorb on Pt side and one hydrogen on Ru side, the next one prefers to stay on the Ru atom in sequence.","[""Interestingly, after the first step, the hydrogen atoms first adsorb on the Pt side one by one, after three hydrogen atoms adsorb on Pt side and one hydrogen on Ru side, the next one prefers to stay on the Ru atom in sequence.""]",the hydrogen atoms first adsorb on the Pt side one by one,"after three hydrogen atoms adsorb on Pt side and one hydrogen on Ru side, the next one prefers to stay on the Ru atom in sequence",after the first step,[],"[{""key"": ""adsorbate"", ""value"": ""hydrogen""}, {""key"": ""system"", ""value"": ""dual-atom Pt–Ru dimer""}]","[""calc_h_adsorption_pt_ru""]","[""EXPRESSES_PATTERN""]","[{""asset_ids"": [""Kiwook_1:main:asset:c3e3d577ccd22fa0""], ""document_id"": ""main"", ""document_role"": ""main"", ""locator_text"": ""Fig. 5"", ""page_id"": 6}]",1,"[""RELATION_CUE_MISMATCH""]","[{""code"": ""RELATION_CUE_MISMATCH"", ""detail"": ""Relation evidence does not lexically support VARIES_WITH."", ""field"": ""relation_evidence_phrase"", ""repairable"": true}]",[],,,,,,,,,,
52cfbc48d2159b247013,Kiwook_1,b68eca2bd9b812d0,6043a1adf9014787,Kiwook_1:main:70e5fe1129f40eb2b396,[main] whole document,main,concept_adsorption_regime_electronic_structure_change,ElectronicEffect,False,KEPT_FRONTIER,paper_local_frontier,,,,,,,,,author_interpretation,adsorption-regime-dependent electronic-structure change,"while with the further increasing number of the hydrogen atoms, the H adsorption becomes favorable again, which should be related with the change of electronic structure for Pt–Ru dimer.",[],,,,[],[],"[""calc_h_adsorption_pt_ru""]","[""DESCRIBES_INTERFACE""]","[{""asset_ids"": [""Kiwook_1:main:asset:b02f364085e0cbf1""], ""document_id"": ""main"", ""document_role"": ""main"", ""locator_text"": null, ""page_id"": 10}]",1,[],[],[],,,,,,,,,,
9bde07fa879a9f75dba9,Kiwook_1,b68eca2bd9b812d0,6043a1adf9014787,Kiwook_1:main:7185649b53e40800c10b,[main] whole document,main,pattern_intermetallic_bond_contraction_electron_redistribution,RelationPattern,True,REJECTED,accepted_pattern,intermetallic bond contraction,PROMOTES,electron redistribution between paired metal sites,intermetallic bond contraction,PROMOTES,electron redistribution between paired metal sites,causal_interpretive,explicit_single_span,author_interpretation,intermetallic bond contraction–electron redistribution coupling,"In this process, the bond distance between the Pt–Ru dimer decreases from 2.72 to 2.63 Å, which results in the electron redistribution between Pt–Ru dimer.","[""In this process, the bond distance between the Pt–Ru dimer decreases from 2.72 to 2.63 Å, which results in the electron redistribution between Pt–Ru dimer.""]",the bond distance between the Pt–Ru dimer decreases from 2.72 to 2.63 Å,which results in,the electron redistribution between Pt–Ru dimer,[],"[{""key"": ""adsorption_context"", ""value"": ""further hydrogen adsorption on one metal site""}, {""key"": ""architecture"", ""value"": ""dual-atom metal unit""}]","[""mech_pt_ru_electron_redistribution""]","[""EXPRESSES_PATTERN""]","[{""asset_ids"": [], ""document_id"": ""main"", ""document_role"": ""main"", ""locator_text"": null, ""page_id"": 6}]",1,"[""RELATION_CUE_MISMATCH""]","[{""code"": ""RELATION_CUE_MISMATCH"", ""detail"": ""Relation evidence does not lexically support PROMOTES."", ""field"": ""relation_evidence_phrase"", ""repairable"": true}]",[],,,,,,,,,,
73512204a4298499f1e3,Kiwook_1,b68eca2bd9b812d0,6043a1adf9014787,Kiwook_1:main:725fa6be8c47e57a83a6,[main] whole document,main,concept_support_inertness_selective_deposition,RelationPattern,True,ACCEPTED_PATTERN,accepted_pattern,suppressed deposition on the support during initial deposition cycles,SELECTS,pre-existing metal atoms as deposition sites,suppressed deposition on the support during initial deposition cycles,SELECTS,pre-existing metal atoms as deposition sites,causal_interpretive,explicit_single_span,author_interpretation,support-deposition suppression–site selection relationship,"Recently, we reported that Ru atoms can not be deposited on NCNTs in the first several ALD cycles[36.](#page-10-0) This result indicates that Ru atoms are not effectively attached onto NCNTs during the several initial ALD cycles, which provided the necessary prerequisite for selectively deposition of Ru atoms on Pt atoms.","[""Recently, we reported that Ru atoms can not be deposited on NCNTs in the first several ALD cycles[36.](#page-10-0) This result indicates that Ru atoms are not effectively attached onto NCNTs during the several initial ALD cycles, which provided the necessary prerequisite for selectively deposition of Ru atoms on Pt atoms.""]",Ru atoms are not effectively attached onto NCNTs during the several initial ALD cycles,provided the necessary prerequisite for selectively deposition of Ru atoms on Pt atoms,Ru atoms on Pt atoms,[],"[{""key"": ""deposition_process"", ""value"": ""initial ALD cycles""}, {""key"": ""support"", ""value"": ""NCNTs""}, {""key"": ""deposited_species"", ""value"": ""Ru atoms""}]","[""synth_ald_ru_on_pt""]","[""EXPRESSES_PATTERN""]","[{""asset_ids"": [], ""document_id"": ""main"", ""document_role"": ""main"", ""locator_text"": null, ""page_id"": 10}]",1,[],[],[],,,,,,,,,,
d6496a99142c26f723ad,Kiwook_1,b68eca2bd9b812d0,6043a1adf9014787,Kiwook_1:main:864bfb4d8138f3745e6b,[main] whole document,main,pat_electronic_structure_her_modulation,RelationPattern,True,ACCEPTED_PATTERN,accepted_pattern,hydrogen-adsorption-induced electronic structure,MODULATES,HER activity,hydrogen-adsorption-induced electronic structure,MODULATES,HER activity,causal_interpretive,explicit_single_span,author_interpretation,hydrogen-adsorption-induced electronic-structure–HER-activity modulation,"Meanwhile with the increase of the hydrogen adsorption, the ΔGH is further reduced, thus the electronic structure of Pt–Ru dimer under the hydrogen adsorption plays a vital role in modulating the HER activity of Pt–Ru dimer.","[""Meanwhile with the increase of the hydrogen adsorption, the ΔGH is further reduced, thus the electronic structure of Pt–Ru dimer under the hydrogen adsorption plays a vital role in modulating the HER activity of Pt–Ru dimer.""]",the electronic structure of Pt–Ru dimer under the hydrogen adsorption,plays a vital role in modulating,the HER activity of Pt–Ru dimer,[],"[{""key"": ""reaction"", ""value"": ""hydrogen evolution reaction""}, {""key"": ""adsorption_context"", ""value"": ""hydrogen adsorption""}]","[""mech_electronic_her""]","[""EXPRESSES_PATTERN""]","[{""asset_ids"": [], ""document_id"": ""main"", ""document_role"": ""main"", ""locator_text"": ""paragraph discussing Fig. 5a"", ""page_id"": 6}]",1,[],[],[],,,,,,,,,,
